Id,created,updated,lastLogin,groupId,clientSystemId,sumPoints,groupPoints,contributePercentage,contributeAnticipate,averageContribution
135792160,01/07/2015,29/08/2015,01/09/2015,גל,4569,70,4135,1.69%,13.00%,7.69%
135792175,15/08/2015,29/08/2015,01/09/2015,מעיין,4570,80,3295,2.43%,11.00%,9.09%
135792190,01/08/2015,29/08/2015,01/09/2015,מעיין,4571,60,3295,1.82%,11.00%,9.09%
135792205,01/08/2015,29/08/2015,01/09/2015,מעיין,4572,150,3295,4.55%,11.00%,9.09%
135792220,01/08/2015,29/08/2015,01/09/2015,מעיין,4573,200,3295,6.07%,11.00%,9.09%
135792235,01/08/2015,29/08/2015,01/09/2015,מעיין,4574,210,3295,6.37%,11.00%,9.09%
135792250,01/08/2015,29/08/2015,01/09/2015,מעיין,4575,360,3295,10.93%,11.00%,9.09%
135792265,01/08/2015,29/08/2015,01/09/2015,מעיין,4576,420,3295,12.75%,11.00%,9.09%
135792280,01/08/2015,29/08/2015,01/09/2015,מעיין,4577,360,3295,10.93%,11.00%,9.09%
135792295,01/08/2015,29/08/2015,01/09/2015,מעיין,4578,405,3295,12.29%,11.00%,9.09%
135792310,01/08/2015,29/08/2015,01/09/2015,מעיין,4579,520,3295,15.78%,11.00%,9.09%
135792325,01/08/2015,29/08/2015,01/09/2015,מעיין,4580,530,3295,16.08%,11.00%,9.09%
135792340,15/07/2015,29/08/2015,01/09/2015,ירדן,4581,540,3335,16.19%,10.00%,10.00%
135792355,01/08/2015,29/08/2015,01/09/2015,ירדן,4582,300,3335,9.00%,10.00%,10.00%
135792370,01/08/2015,29/08/2015,01/09/2015,ירדן,4583,265,3335,7.95%,10.00%,10.00%
135792385,01/08/2015,29/08/2015,01/09/2015,ירדן,4584,305,3335,9.15%,10.00%,10.00%
135792400,15/08/2015,29/08/2015,01/09/2015,ירדן,4585,315,3335,9.45%,10.00%,10.00%
135792415,01/08/2015,29/08/2015,01/09/2015,ירדן,4586,500,3335,14.99%,10.00%,10.00%
135792430,01/08/2015,29/08/2015,01/09/2015,ירדן,4587,575,3335,17.24%,10.00%,10.00%
135792445,01/08/2015,29/08/2015,01/09/2015,ירדן,4588,105,3335,3.15%,10.00%,10.00%
135792460,15/08/2015,29/08/2015,01/09/2015,ירדן,4589,30,3335,0.90%,10.00%,10.00%
135792475,01/07/2015,29/08/2015,01/09/2015,ירדן,4590,400,3335,11.99%,10.00%,10.00%
135792490,01/07/2015,29/08/2015,01/09/2015,עמית,4591,150,2875,5.22%,10.00%,10.00%
135792505,01/08/2015,29/08/2015,01/09/2015,עמית,4592,160,2875,5.57%,10.00%,10.00%
135792520,01/08/2015,29/08/2015,01/09/2015,עמית,4593,210,2875,7.30%,10.00%,10.00%
135792535,01/08/2015,29/08/2015,01/09/2015,עמית,4594,305,2875,10.61%,10.00%,10.00%
135792550,01/08/2015,29/08/2015,01/09/2015,עמית,4595,280,2875,9.74%,10.00%,10.00%
135792565,01/08/2015,29/08/2015,01/09/2015,עמית,4596,55,2875,1.91%,10.00%,10.00%
135792580,01/08/2015,29/08/2015,01/09/2015,עמית,4597,65,2875,2.26%,10.00%,10.00%
135792595,01/08/2015,29/08/2015,01/09/2015,עמית,4598,520,2875,18.09%,10.00%,10.00%
135792610,01/08/2015,29/08/2015,01/09/2015,עמית,4599,530,2875,18.43%,10.00%,10.00%
135792625,01/08/2015,29/08/2015,01/09/2015,עמית,4600,600,2875,20.87%,10.00%,10.00%
135792640,01/08/2015,29/08/2015,01/09/2015,עופרי,4601,80,2485,3.22%,9.00%,11.11%
135792655,15/07/2015,29/08/2015,01/09/2015,עופרי,4602,120,2485,4.83%,9.00%,11.11%
135792670,01/08/2015,29/08/2015,01/09/2015,עופרי,4603,130,2485,5.23%,9.00%,11.11%
135792685,01/08/2015,29/08/2015,01/09/2015,עופרי,4604,250,2485,10.06%,9.00%,11.11%
135792700,01/08/2015,29/08/2015,01/09/2015,עופרי,4605,260,2485,10.46%,9.00%,11.11%
135792715,01/08/2015,29/08/2015,01/09/2015,עופרי,4606,425,2485,17.10%,9.00%,11.11%
135792730,01/08/2015,29/08/2015,01/09/2015,עופרי,4607,560,2485,22.54%,9.00%,11.11%
135792745,15/07/2015,29/08/2015,01/09/2015,עופרי,4608,325,2485,13.08%,9.00%,11.11%
135792760,01/08/2015,29/08/2015,01/09/2015,עופרי,4609,335,2485,13.48%,9.00%,11.11%
