Id,created,updated,clientSystemId,groupId,points
135792625,01/08/2015,29/08/2015,4600,עמית,120
135792640,01/08/2015,29/08/2015,4601,עופרי,16
135792655,15/07/2015,29/08/2015,4602,עופרי,24
135792670,01/08/2015,29/08/2015,4603,עופרי,26
135792685,01/08/2015,29/08/2015,4604,עופרי,50
135792700,01/08/2015,29/08/2015,4605,עופרי,52
135792715,01/08/2015,29/08/2015,4606,עופרי,85
135792730,01/08/2015,29/08/2015,4607,עופרי,112
135792745,15/07/2015,29/08/2015,4608,עופרי,65
135792760,01/08/2015,29/08/2015,4609,עופרי,67
