Id,created,updated,clientSystemId,points,groupId
135792580,01/08/2015,29/08/2015,4597,33,עמית
135792595,01/08/2015,29/08/2015,4598,260,עמית
135792610,01/08/2015,29/08/2015,4599,265,עמית
135792625,01/08/2015,29/08/2015,4600,300,עמית
135792640,01/08/2015,29/08/2015,4601,40,עופרי
135792655,15/07/2015,29/08/2015,4602,60,עופרי
135792670,01/08/2015,29/08/2015,4603,65,עופרי
135792685,01/08/2015,29/08/2015,4604,125,עופרי
135792700,01/08/2015,29/08/2015,4605,130,עופרי
135792715,01/08/2015,29/08/2015,4606,213,עופרי
135792730,01/08/2015,29/08/2015,4607,280,עופרי
135792745,15/07/2015,29/08/2015,4608,163,עופרי
135792760,01/08/2015,29/08/2015,4609,168,עופרי
